"","SNF2_1","SNF2_2","SNF2_3","SNF2_4","SNF2_5","WT_1","WT_2","WT_3","WT_4","WT_5"
"YDL248W",109,84,100,112,62,47,65,60,95,43
"YDL247W-A",0,1,1,0,3,0,0,1,0,0
"YDL247W",6,6,1,3,4,2,3,4,7,9
"YDL246C",6,6,1,4,4,1,3,2,4,0
"YDL245C",1,6,9,5,3,6,2,5,5,6
"YDL244W",79,59,49,60,37,9,8,12,30,14
"YDL243C",363,289,243,352,241,192,169,190,309,171
"YDL242W",41,22,26,26,22,25,30,18,42,27
"YDL241W",143,119,115,135,96,239,343,251,555,323
"YDL240C-A",2,4,1,5,3,2,0,1,3,1
"YDL240W",670,470,429,680,347,185,493,326,432,506
"YDL239C",243,163,232,373,134,105,161,169,204,156
"YDL238C",381,335,302,351,233,305,231,279,444,179
"YDL237W",1088,882,912,1095,735,435,636,622,966,561
"YDL236W",1961,1636,1775,1972,1305,1065,1422,1096,1922,1449
"YDL235C",696,524,437,682,411,196,493,435,430,400
"YDL234C",1534,1398,1479,1704,1091,1123,1282,1007,2911,931
"YDL233W",635,615,640,724,470,290,363,300,533,296
"YDL232W",376,304,238,373,329,169,224,191,325,237
"YDL231C",1203,826,882,1162,692,467,754,579,886,789
"YDL230W",934,659,587,800,556,396,504,425,623,494
"YDL229W",3466,3023,3066,3223,1919,4069,4789,3059,5663,5339
"YDL228C",61,16,30,25,7,17,49,27,37,37
"YDL227C",51,31,39,49,40,87,175,123,105,185
"YDL226C",1556,1418,1361,1840,1075,796,1021,876,1380,1107
"YDL225W",1215,908,1080,1418,715,395,743,617,842,803
"YDL224C",1293,965,958,1293,803,538,818,667,860,736
"YDL223C",771,559,532,789,401,313,337,322,512,306
"YDL222C",139,143,84,135,75,55,55,42,85,27
"YDL221W",74,98,83,101,58,43,48,35,73,26
"YDL220C",313,292,245,318,162,171,182,141,225,148
"YDL219W",256,190,225,304,191,75,211,165,226,184
"YDL218W",97,65,82,71,64,63,41,49,75,54
"YDL217C",592,479,450,630,405,260,410,344,480,348
"YDL216C",454,396,346,459,279,191,281,210,334,271
"YDL215C",1969,1263,1205,1901,908,762,1097,1135,1525,846
"YDL214C",270,246,219,302,179,41,62,59,72,49
"YDL213C",1452,1166,1252,1760,883,534,1214,837,1161,1384
"YDL212W",2507,1913,2066,2643,1594,1049,1702,1373,2047,1697
"YDL211C",323,195,188,328,222,101,171,125,191,159
